section,layer,value
forward_cumulative_auc,1:TEMPORAL,0.826
forward_cumulative_auc,2:contact,0.826
forward_cumulative_auc,3:osint_skill,0.8445
forward_cumulative_auc,4:osint_certification,0.8478
forward_cumulative_auc,5:osint_platform,0.8528
forward_cumulative_auc,6:osint_routine,0.8578
forward_cumulative_auc,7:osint_event,0.8617
forward_cumulative_auc,8:osint_pretext,0.8632
forward_cumulative_auc,9:temporal_coactivity,0.8645
forward_cumulative_auc,10:org_hierarchy,0.8652
forward_cumulative_auc,11:interest_sim,0.8645
forward_cumulative_auc,12:shared_domain,0.8634
forward_cumulative_auc,13:osint_conference,0.8624
leave_one_out_drop,TEMPORAL,0.2107
leave_one_out_drop,osint_skill,0.0246
leave_one_out_drop,contact,0.0108
leave_one_out_drop,osint_platform,0.01
leave_one_out_drop,osint_certification,0.0071
leave_one_out_drop,osint_routine,0.0071
leave_one_out_drop,osint_event,0.0025
leave_one_out_drop,temporal_coactivity,0.0013
leave_one_out_drop,osint_pretext,0.0011
leave_one_out_drop,org_hierarchy,-0.0002
leave_one_out_drop,shared_domain,-0.0003
leave_one_out_drop,interest_sim,-0.001
leave_one_out_drop,osint_conference,-0.0011
full,all_layers,0.8624
